0	0 	2 	
0.1	0.199667 	1.99001 	
0.2	0.397338 	1.96013 	
0.3	0.59104 	1.91067 	
0.4	0.778836 	1.84212 	
0.5	0.95885 	1.75517 	
0.6	1.12928 	1.65067 	
0.7	1.28843 	1.52969 	
0.8	1.43471 	1.39341 	
0.9	1.56665 	1.24322 	
1	1.68294 	1.08061 	
1.1	1.78241 	0.907194 	
1.2	1.86408 	0.724717 	
1.3	1.92712 	0.535 	
1.4	1.9709 	0.339937 	
1.5	1.99499 	0.141477 	
1.6	1.99915 	-0.0583964 	
1.7	1.98333 	-0.257686 	
1.8	1.9477 	-0.454401 	
1.9	1.8926 	-0.646576 	
2	1.8186 	-0.832291 	
2.1	1.72642 	-1.00969 	
2.2	1.61699 	-1.177 	
2.3	1.49141 	-1.33255 	
2.4	1.35093 	-1.47478 	
2.5	1.19695 	-1.60228 	
2.6	1.03101 	-1.71377 	
2.7	0.854764 	-1.80814 	
2.8	0.669981 	-1.88444 	
2.9	0.478503 	-1.94191 	
3	0.282245 	-1.97998 	
3.1	0.0831665 	-1.99827 	
3.2	-0.116743 	-1.99659 	
3.3	-0.315486 	-1.97496 	
3.4	-0.511077 	-1.9336 	
3.5	-0.701561 	-1.87291 	
3.6	-0.885035 	-1.79352 	
3.7	-1.05967 	-1.6962 	
3.8	-1.22371 	-1.58194 	
3.9	-1.37553 	-1.45187 	
4	-1.5136 	-1.30729 	
4.1	-1.63655 	-1.14965 	
4.2	-1.74315 	-0.980527 	
4.3	-1.83233 	-0.801605 	
4.4	-1.9032 	-0.614673 	
4.5	-1.95506 	-0.421599 	
4.6	-1.98738 	-0.224313 	
4.7	-1.99985 	-0.0247851 	
4.8	-1.99233 	0.17499 	
4.9	-1.96491 	0.373017 	
5	-1.91785 	0.567316
